"anon_screen_name","gender","year_of_birth","level_of_education","country_three_letters","country_name"
"13641bfecade7ce327bbd9f3741cc7d89a23f535","","1970","User withheld","USA","United States"
"6477a9db4f10c1f2cd6c6ed915994fecab250301","",\N,"User withheld","USA","United States"
"6477a9db4f10c1f2cd6c6ed915994fecab250301","",\N,"User withheld","DEU","Germany"
"6477a9db4f10c1f2cd6c6ed915994fecab250301","",\N,"User withheld","ZZZ","Reserved"
"dc81f20b60e34ad25addc0fe50ae53b380bd84de","m","1981","Bachelors","USA","United States"
"b3eefa12dff74a399ef3f3f976c1c8ceb0ab9cf4","m","1979","Masters or professional degree","USA","United States"
"7a00aed942c49d8034c335d17888825cfe91b792","m","1986","Masters or professional degree","CAN","Canada"
"6a3c1364d2f8d08936a72fb5dc2d244b4ac06440","f","1988","Bachelors","IND","India"
"00c038a6d281c264374b59c5327d1abf05dd4700","m","1989","Bachelors","RUS","Russian Federation"
"6b11437cca63c9d68e9871294dba0387f7e664c8","f","1993","Bachelors","BRA","Brazil"
"15bf44745eb87cf972cf7c3675f0224c477c28d3","m","1972","Bachelors","BEL","Belgium"
"bb3a0369259212f3855853c36b5e464f6eeb845f","m","1985","Bachelors","IND","India"
"bb3a0369259212f3855853c36b5e464f6eeb845f","m","1985","Bachelors","CHN","China"
"851dbce9ec656e7ca081046f14c085559cea80dc","m","1974","Secondary/High School","HKG","Hong Kong"
"851dbce9ec656e7ca081046f14c085559cea80dc","m","1974","Secondary/High School","CHN","China"
"e14f56b871c70d6c9e4f4a4a9df88cb58acf8b29","f","1990","Bachelors","IND","India"
"9b218e047cf93a8a15df6ca646e874024dd42ee9","f","1984","Bachelors","THA","Thailand"
"47a58f032090f9478f6d8a414fb182aba609e1e7","m","1986","Masters or professional degree","PAK","Pakistan"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","GBR","United Kingdom"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","DNK","Denmark"
"d8471d111f083aa031f3416a548ce6e48ee61b2c","m","1966","Doctorate","SWE","Sweden"
