an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
13641bfecade7ce327bbd9f3741cc7d89a23f535,,197,User withheld,USA,United States
6477a9db4f1 c1f2cd6c6ed915994fecab25 3 1,, ,User withheld,USA,United States
6477a9db4f1 c1f2cd6c6ed915994fecab25 3 1,, ,User withheld,DEU,Germany
6477a9db4f1 c1f2cd6c6ed915994fecab25 3 1,, ,User withheld,ZZZ,Reserved
dc81f2 b6 e34ad25addc fe5 ae53b38 bd84de,m,1981,Bachel rs,USA,United States
b3eefa12dff74a399ef3f3f976c1c8ceb ab9cf4,m,1979,Masters  r pr fessi nal degree,USA,United States
7a  aed942c49d8 34c335d17888825cfe91b792,m,1986,Masters  r pr fessi nal degree,CAN,Canada
6a3c1364d2f8d 8936a72fb5dc2d244b4ac 644 ,f,1988,Bachel rs,IND,India
  c 38a6d281c264374b59c5327d1abf 5dd47  ,m,1989,Bachel rs,RUS,Russian Federati n
6b11437cca63c9d68e9871294dba 387f7e664c8,f,1993,Bachel rs,BRA,Brazil
15bf44745eb87cf972cf7c3675f 224c477c28d3,m,1972,Bachel rs,BEL,Belgium
bb3a 369259212f3855853c36b5e464f6eeb845f,m,1985,Bachel rs,IND,India
bb3a 369259212f3855853c36b5e464f6eeb845f,m,1985,Bachel rs,CHN,China
851dbce9ec656e7ca 81 46f14c 85559cea8 dc,m,1974,Sec ndary/High Sch  l,HKG,H ng K ng
851dbce9ec656e7ca 81 46f14c 85559cea8 dc,m,1974,Sec ndary/High Sch  l,CHN,China
e14f56b871c7 d6c9e4f4a4a9df88cb58acf8b29,f,199,Bachel rs,IND,India
9b218e 47cf93a8a15df6ca646e874 24dd42ee9,f,1984,Bachel rs,THA,Thailand
47a58f 32 9 f9478f6d8a414fb182aba6 9e1e7,m,1986,Masters  r pr fessi nal degree,PAK,Pakistan
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,GBR,United Kingd m
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,DNK,Denmark
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,SWE,Sweden
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,DEU,Germany
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,USA,United States
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,KAZ,Kazakhstan
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,CHE,Switzerland
d8471d111f 83aa 31f3416a548ce6e48ee61b2c,m,1966,D ct rate,ZZZ,Reserved
53317c1573be4aad9a9c74ad d6acf4797fb838e,m,1974,Masters  r pr fessi nal degree,DEU,Germany
53317c1573be4aad9a9c74ad d6acf4797fb838e,m,1974,Masters  r pr fessi nal degree,GBR,United Kingd m
1 e a57a1 bdb239d33ba6a7a5d89a8b62734e39,f,1996,Sec ndary/High Sch  l,BRA,Brazil
274e7f464467c82a 79c24667fe2824fd67f14a3,m,1988,Bachel rs,CHN,China
274e7f464467c82a 79c24667fe2824fd67f14a3,m,1988,Bachel rs,USA,United States
274e7f464467c82a 79c24667fe2824fd67f14a3,m,1988,Bachel rs,ZZZ,Reserved
274e7f464467c82a 79c24667fe2824fd67f14a3,m,1988,Bachel rs,JPN,Japan
274e7f464467c82a 79c24667fe2824fd67f14a3,m,1988,Bachel rs,TWN,Taiwan; Republic  f China (R C)
78da499d1e6f7b1ccd7ea78d3232a481ad56a6 7,m,1989,Bachel rs,GHA,Ghana
a27dc1793f5517cb93fd4588c5eb36b768e 2296,m,1991,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
95edf44ccab58d4ec 68236dd99 4d2 2f7defcb,m,199,Sec ndary/High Sch  l,CAN,Canada
53 d75cac3 aa 1b2cd45766 3baa94f35ed4643,m,199,Bachel rs,IND,India
53 d75cac3 aa 1b2cd45766 3baa94f35ed4643,m,199,Bachel rs,CHN,China
53 d75cac3 aa 1b2cd45766 3baa94f35ed4643,m,199,Bachel rs,USA,United States
a6c5ecd64a7dfce796 ea99 bd71febf1a729912,m,1993,Sec ndary/High Sch  l,IND,India
c5f2 f7a99b17  b6d5f229 2c3b558e 43d8a68,f,1983,Bachel rs,NGA,Nigeria
3829d 426a81c133958be b746d2df6ec15c a 9,m,1984,Bachel rs,GHA,Ghana
3829d 426a81c133958be b746d2df6ec15c a 9,m,1984,Bachel rs,NGA,Nigeria
a6ab84d32 fa9c4e7345cc5638ae6512fafd7548,m,1993,Sec ndary/High Sch  l,ZAF,S uth Africa
