anon_screen_name,Finalgrade,FinalScore
2c8c1acc64557cb3d317cc4ba3766e766e3c6e72,0,Fail
263763b392ddf86cd4f42fe635420bc309cde658,0,Fail
060090cfc2e585d87048c45b9f0d8169dd553ee7,0,Fail
422394c7a3679ac123e1b95d451ad9628eaa0efc,0,Fail
a99302b2cf6705fd4b459c5457e8026f0997fe3c,0,Fail
f2efa94da140aeaf4c9220ab90d765ad1ac309f1,0,Fail
b7c37d12581718fb22fde3cfc8093f300669dd89,0,Fail
62e88f3eeecee5703e5118aba9c217ad0063afec,0,Fail
a27dc1793f5517cb93fd4588c5eb36b768e02296,0,Fail
f79af8e271e2053dd31722a942e026809b71e0d0,0,Fail
55e79d5067adc1046fa2c40f90267e4e864db4d9,0,Fail
240a13cf533c72116c04e607028b5ec051d4963d,0,Fail
eeb2093fc2f914be7944f3285b86bf51192f2912,0,Fail
0ce18e88ad2e2a28df042ed5a5f1afa87e023811,0,Fail
ea16e277c6a7bfe4d8bcb1107638bca2057ecb36,0.06,Fail
5aa145ef79a8a64ff3335f7de7df514e4133e8b8,0,Fail
b6dc3c55fcc7bd501abad60bf089abb0e025e3da,0.07,Fail
3bea4fd93fdee8b317f1bcbbd292c7d8e5eac50f,0,Fail
4b3425270698194dd21d2fd7e6a301270da6f2f5,0,Fail
6e3a481cb2286c251f82a6d06dc52b3fb93ddef3,0.06,Fail
f0aaee9ed01c04102819fdae5877e6fba369c3ab,0.01,Fail
13406b83a48bde15fcf7e88a61fcc1e30be3bd34,0,Fail
8886f0e379e02a54fd6c4e86591add784ea64e53,0,Fail
347620e4cfce8581df02291a344a0c1da72019fc,0,Fail
e9b77bcd032e4cd07174fb952e72d019edf72a02,0,Fail
54628f4790f382face8b15f497d071e050f81740,0.16,Fail
bc32a777fe1b412445d1e0bd90ff561eec3a5e16,0,Fail
7e76a49dffb20215aa6701f843606fc53586e22d,0,Fail
aeac986d8ecd80788ba53052783a1be8eddad94b,0,Fail
9c8ca8bcdb2a1b18a86017aa94877751c15f1e41,0.06,Fail
47a58f032090f9478f6d8a414fb182aba609e1e7,0.19,Fail
576c48c788c6692bb993fb1bd937f4f3b69700a3,0,Fail
62f8bfae4543e0963e4e1d47a8c25c971ce3daa0,0.08,Fail
5828dc3f894e978069a813cc23ba5b00ae047a0e,0.08,Fail
ca0dc10b123a7fb81ddb5df9e40fca9e4c306745,0,Fail
4e72c2fd2f32a9587ebdf53208561bb313836a60,0.06,Fail
e590424412978b0223f919d6e9530c74a6a63329,0,Fail
2ed96ef5248b4b4bcc218b175e4cbfc5062ee618,0,Fail
ccfe366cc67d0ecee2b9375e4056f32c076d7258,0,Fail
98988d2ce52a26878dca4017951a532dd28c6b6e,0,Fail
7bce44bab53a51ab114b6e93a57ab6bd363d6ab6,0,Fail
4910f7956e3062f1b43bb3f7359ad3b64e01d633,0,Fail
5b33aa0c5809f4c38767a8af8102359aa1c2be9c,0,Fail
51a654b944146bbcd6d815802dc00d9c3eaddb6b,0,Fail
fc01c3f7e2374f6378ec41b9d2c7e2347055b25e,0,Fail
8cf89052e4e2e33971943d37760c2bb8ffdd82ab,0,Fail
2ea3fa0cefcc6e63a4d26d612b3ecb19d19caefe,0.37,Fail
a81986efa81a26c590666ef5339ad37c9ed303e4,0.31,Fail
cd6138c089a2868b7e9d0a91c736b2f8855514cb,0,Fail
805b7c1dc2566f28e5ac28a4936e9f14ce23854d,0,Fail
bfa861a645435656aae46c394726c40848842c9e,0,Fail
10fc41bca997be544b9af3d609251c3602aacacc,0,Fail
a746a9aa2c2cc2e5db23e91296b2cea657857ea2,0,Fail
e82c817de876f866c6485acabdcf90fe6293077f,0.02,Fail
1110c5548e0a060fde27185b5e1d812506c7c193,0,Fail
1c8a47eee1260272c8f328941b81057d9486a0a8,0,Fail
4ec32c23ec1fa1f56721dd32a45d7f5bdb4d634e,0,Fail
fe6c9c17df33f7fb102cd88f8f7f64298c2ddbb8,0,Fail
01f8cb193497923b2f9145682b8e641f9d72f35d,0.17,Fail
9850edd0395b41157e0edbd3b830a1fdd56aca11,0,Fail
c3a943ec50c63e97bbde25c705fbcf622af38237,0,Fail
508c0092cac635941406deb411d4e129531b68c7,0,Fail
b9993fa171c4aa9cfc4ccfa3137f5f402e7027f3,0,Fail
9b161de66044b1d99f75f4483bdf8d0587a6af71,0,Fail
5ba2eee3c316ad5eed5443352fb5b125fa34f5b7,0.07,Fail
