,anon_screen_name,resource_display_name,module_id,activity_grade_id,first_submit,last_submit,module_type,Module,Week ,Act,Finalgrade,FinalScore
1927,b2ee74bc94cb8449499ee05e796c8336007c61c5,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,23520107,16/07/2014 21:57,7/06/2015 16:06,video,The Basic Core of Economics,Week-1,L4,0.91,Pass
1928,b2ee74bc94cb8449499ee05e796c8336007c61c5,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,23168828,11/07/2014 21:41,7/06/2015 16:04,video,The Basic Core of Economics,Week-1,L1,0.91,Pass
1929,a6caa196cc5d4f1a83c0b845bf0560a2da332e77,Lecture: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/video/07f95e4404d74f16926b8ccd4aff7016,22002184,26/06/2014 15:24,16/06/2015 18:11,video,The Basic Core of Economics,Week-1,L4,0.98,Pass
1930,a6caa196cc5d4f1a83c0b845bf0560a2da332e77,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,21818904,24/06/2014 18:31,18/06/2015 15:35,problem,The Basic Core of Economics,Week-1,P-5 ,0.98,Pass
1931,a6caa196cc5d4f1a83c0b845bf0560a2da332e77,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21950070,25/06/2014 21:07,13/06/2015 20:01,video,The Basic Core of Economics,Week-1,L1,0.98,Pass
2135,f8c7a4e1acb599bda7e980d9417ed221757d1357,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,21750991,24/06/2014 7:42,28/03/2015 15:02,video,The Basic Core of Economics,Week-1,L1,0.93,Pass
2136,f8c7a4e1acb599bda7e980d9417ed221757d1357,Lecture: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/video/83ca9e8088db48cd95e2866a1b0474a4,22330584,1/07/2014 3:31,7/05/2015 9:06,video,The Competitive Equilibrium Model ,Week-2,L10,0.93,Pass
2143,f88bdf9ef39912e0634119d11615f9f417d1b446,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,44868631,29/03/2015 14:04,29/03/2015 14:08,video,The Basic Core of Economics,Week-1,L1,1.0,Pass
2144,f88bdf9ef39912e0634119d11615f9f417d1b446,Quiz: Are Competitive Markets Efficient?,i4x://HumanitiesSciences/Econ-1/problem/512c30e072234487bf280f68be30685b,25566687,16/08/2014 15:43,29/03/2015 14:19,problem,The Competitive Equilibrium Model,Week-2,P-13 ,1.0,Pass
2145,f88bdf9ef39912e0634119d11615f9f417d1b446,Lecture: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/video/83ca9e8088db48cd95e2866a1b0474a4,44869094,29/03/2015 14:17,29/03/2015 14:17,video,The Competitive Equilibrium Model ,Week-2,L10,1.0,Pass
2259,81df255339be5a0ba7f8da239e7fd7d915971078,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,25296658,12/08/2014 9:58,24/05/2015 6:02,video,The Basic Core of Economics,Week-1,L1,0.91,Pass
2260,81df255339be5a0ba7f8da239e7fd7d915971078,Lecture: Tax Policy (16A),i4x://HumanitiesSciences/Econ-1/video/fdf2e47fd7ac4b9d997bd67e68bedce0,26104656,24/08/2014 15:29,20/05/2015 6:59,video,Key Economic Policy Issues,Week-4,L33,0.91,Pass
2261,81df255339be5a0ba7f8da239e7fd7d915971078,Lecture: Marginal Benefit and Consumer Surplus,i4x://HumanitiesSciences/Econ-1/video/83ca9e8088db48cd95e2866a1b0474a4,25695959,18/08/2014 16:13,24/05/2015 18:04,video,The Competitive Equilibrium Model ,Week-2,L10,0.91,Pass
2285,1d081d9cf161b3dce925152ee287b055185a1c4e,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,22058125,27/06/2014 11:40,21/06/2015 17:28,video,The Basic Core of Economics,Week-1,L1,0.96,Pass
2326,d567be88043d597cfc302106eac12269a318c972,Lecture: Welcome to the Principles of Economics,i4x://HumanitiesSciences/Econ-1/video/b56b71690dac4cba8f719fceb5808a33,22824664,6/07/2014 18:45,2/08/2015 12:20,video,The Basic Core of Economics,Week-1,L1,0.9,Pass
