Module,resource_display_name,Week ,Act
The Basic Core of Economics,Lecture: Welcome to the Principles of Economics,Week-1,L1
The Basic Core of Economics,Lecture: The Central Idea (1B),Week-1,L2
The Basic Core of Economics,Lecture: Production Possibilities and Economic Growth (2A),Week-1,L3
The Basic Core of Economics,Lecture: Observing and Explaining the Economy,Week-1,L4
The Basic Core of Economics,Lecture: Supply and Demand (3A),Week-1,L5
The Basic Core of Economics,Lecture: Market Equilibrium (3B),Week-1,L6
The Basic Core of Economics,Lecture: The Role of Prices and Elasticity (4A),Week-1,L7
The Basic Core of Economics,Lecture: Real World Applications of the Supply and Demand Model (4B),Week-1,L8
The Competitive Equilibrium Model ,Lecture: Derivation of the Demand Curve (5A),Week-2,L9
The Competitive Equilibrium Model ,Lecture: Marginal Benefit and Consumer Surplus,Week-2,L10
The Competitive Equilibrium Model ,Video: Toward a Smooth Demand Curve,Week-2,L11
The Competitive Equilibrium Model , Lecture: Derivation of the Supply Curve (6A),Week-2,L12
The Competitive Equilibrium Model ,Video: Toward a Smooth Supply Curve,Week-2,L13
The Competitive Equilibrium Model ,Lecture: Marginal Product of Labor and Marginal Costs (6B),Week-2,L14
The Competitive Equilibrium Model ,Lecture: Are Competitive Markets Efficient? (7B),Week-2,L15
The Competitive Equilibrium Model ,Video: Illustration of the Famous Invisible Hand Theorem,Week-2,L16
The Competitive Equilibrium Model ,Lecture: Interpreting Double Auction Markets (7A),Week-2,L17
The Competitive Equilibrium Model ,Video: The Double Auction Simulation,Week-2,L18
Firms and Industries Changing Over Time,Lecture: Cost Curves (8A),Week-2,L19
Firms and Industries Changing Over Time, Lecture: Profits and Losses (8B),Week-2,L20
Firms and Industries Changing Over Time, Lecture: Changes in the Size of a Firm over Time (9A),Week-2,L21
Firms and Industries Changing Over Time,Lecture: The Rise and Fall of Industries (9B),Week-2,L22
Deviations from Competition ,Lecture: Monopoly (10A),Week-3,L23
Deviations from Competition , Price Discrimination (10B),Week-3,L24
Deviations from Competition ,Lecture: Monopolistic Competition (11A),Week-3,L25
Deviations from Competition ,Lecture: Oligopoly (12A),Week-3,L26
Deviations from Competition ,Lecture: Oligopoly Pt. 2 (12B),Week-3,L27
Deviations from Competition ,Lecture: Economic Regulation (13A),Week-3,L28
Deviations from Competition , Lecture: Antitrust Policy (13B),Week-3,L29
