,anon_screen_name,resource_display_name,module_id,activity_grade_id,first_submit,last_submit,module_type,Module,Week ,Act,Finalgrade,FinalScore
0,77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43005924,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
2,77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43005922,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
4,77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43005919,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
5,77d69af413fd3c1ffc8009a0a92a56c406e69370,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43005923,4/03/2015 20:05,4/03/2015 20:05,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
42,012113d6241059a1c191068a899c0396fa3f3ee9,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43264582,7/03/2015 8:26,7/03/2015 8:26,problem,The Basic Core of Economics,Week-1,P-7 ,0.0,Fail
43,012113d6241059a1c191068a899c0396fa3f3ee9,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43262275,7/03/2015 7:50,7/03/2015 8:03,problem,The Basic Core of Economics,Week-1,P-5 ,0.0,Fail
44,012113d6241059a1c191068a899c0396fa3f3ee9,Quiz: Observing and Explaining the Economy,i4x://HumanitiesSciences/Econ-1/problem/8a0a54db75a74eb0907ca1f9ca7050f6,43261948,7/03/2015 7:42,7/03/2015 7:47,problem,The Basic Core of Economics,Week-1,P-4,0.0,Fail
45,012113d6241059a1c191068a899c0396fa3f3ee9,Quiz: Price Ceilings and Floors,i4x://HumanitiesSciences/Econ-1/problem/e2e27a85b7b84ad8bfac5945dd337edf,43264583,7/03/2015 8:26,7/03/2015 8:26,problem,The Basic Core of Economics,Week-1,P-8 ,0.0,Fail
46,2ad1dc8d861a732e45fe4a51b8f821755f6a28f3,Quiz: Price and Elasticity,i4x://HumanitiesSciences/Econ-1/problem/c276c9596689467195f161e7e6ad91c2,43460036,9/03/2015 18:10,9/03/2015 18:10,problem,The Basic Core of Economics,Week-1,P-7 ,0.03,Fail
48,2ad1dc8d861a732e45fe4a51b8f821755f6a28f3,Quiz: Supply and Demand,i4x://HumanitiesSciences/Econ-1/problem/ede36873578c4e99a7a2d7568e4e1374,43460034,9/03/2015 18:10,9/03/2015 18:10,problem,The Basic Core of Economics,Week-1,P-5 ,0.03,Fail
